Unnamed: 0,ID,RAdeg,DECdeg,G_mag,g_mag,g_r,logExcess,Gp_G,Pext,Pgc
419,310609908838975872,19.765715,31.490305,20.294,19.154,0.802,0.935,-1.927,1.0,0.07
19953,2876184429553060096,3.993099,34.738969,20.896,19.4,0.992,1.175,-2.364,1.0,0.0
11240,384353226000121856,0.060888,42.516268,17.933,18.715,1.263,0.374,-0.54,0.67,0.03
2749,320354914755853952,21.408633,34.66853,21.491,19.279,0.732,1.29,-2.911,1.0,0.02
7144,371969117300261888,18.977257,40.986354,20.838,19.058,1.05,1.277,-2.678,1.0,0.0
11626,385694011713626624,5.120968,44.008799,20.091,18.743,1.091,1.113,-2.34,1.0,0.04
19570,2875185699334158976,0.910148,34.273765,20.312,19.421,0.839,0.813,-1.73,0.99,0.01
4557,363286789371352704,16.487184,35.614514,19.199,18.289,0.851,0.896,-1.717,1.0,0.17
3999,362514794769321216,11.371036,35.229706,20.47,19.202,0.571,0.974,-1.996,1.0,0.01
7365,371408125851828352,16.896185,40.382822,19.155,17.89,0.605,1.035,-2.031,1.0,0.01
2205,319779904534112640,19.531849,33.188326,20.628,18.886,0.746,1.228,-2.567,1.0,0.0
14293,395919710374171904,2.834188,52.52956,20.459,19.094,0.952,1.169,-2.44,1.0,0.0
13464,392473806570777216,5.048698,47.477929,19.569,17.561,0.869,1.382,-2.891,1.0,0.1
5895,368124670597768832,12.082262,39.569606,20.445,19.227,0.796,1.021,-2.194,1.0,0.0
14902,398418831580512640,18.849136,47.123434,16.128,16.845,1.224,0.403,-0.524,0.62,0.34
11282,384127413802177024,2.264079,41.772979,20.433,19.221,0.529,0.76,-1.778,0.81,0.29
16231,414650646866272640,11.563459,49.482444,21.423,18.435,0.451,1.618,-3.643,1.0,0.01
13121,391262763233205376,9.578037,48.557292,21.341,19.288,0.535,1.349,-2.811,1.0,0.01
6017,368181402821275136,10.075736,37.518244,20.701,19.119,0.721,1.046,-2.255,0.99,0.01
18857,2862467888852928128,5.589795,31.6638,20.645,19.497,0.677,1.002,-1.942,0.99,0.04
8619,375368669814391424,12.255207,42.260861,20.028,18.72,0.768,1.008,-2.169,1.0,0.01
2755,320682947177644416,20.250908,35.702415,19.841,17.905,0.771,1.401,-2.83,1.0,0.01
11581,386011049018945024,3.663039,45.15001,19.213,18.741,0.648,0.676,-1.253,0.94,0.07
7969,373412707348773376,20.145949,43.127608,20.716,18.816,0.702,1.341,-2.778,1.0,0.01
13009,390946511906469632,8.755915,48.59004,20.874,19.211,0.842,1.323,-2.67,1.0,0.0
2588,320135459106692224,18.632875,34.321893,20.065,18.97,0.638,0.892,-1.912,1.0,0.0
18034,2860704650159251200,3.273767,29.87737,19.391,18.617,1.002,0.856,-1.647,0.99,0.28
13025,390825432482324224,8.095838,47.997353,19.908,18.645,0.865,1.073,-2.185,1.0,0.0
8543,375260020032705024,12.080332,41.668086,17.799,19.094,1.229,0.19,-0.064,0.56,0.02
8784,375557648375213440,13.718513,42.965099,20.677,18.715,0.31,1.287,-2.573,1.0,0.09
9317,377420599030914176,13.730047,45.220228,20.424,19.309,0.797,0.925,-1.955,0.98,0.01
10163,380880452884610560,8.283288,40.111218,20.338,19.064,0.932,0.971,-2.108,1.0,0.0
12125,387475564146775296,10.936929,43.145478,21.666,19.257,0.549,1.364,-2.959,1.0,0.15
14300,395860611629025536,2.536135,52.106643,21.417,19.465,0.806,1.372,-2.893,1.0,0.0
9973,380150411524950016,6.194824,39.741184,20.679,19.458,1.208,1.085,-2.285,1.0,0.01
11202,384544163068316928,2.623608,42.618929,20.283,18.943,0.855,1.062,-2.392,1.0,0.0
10636,381490887997061504,8.628357,41.885132,20.871,19.051,0.831,1.211,-2.754,1.0,0.01
2457,319869858328863616,19.676797,33.842703,20.272,18.907,0.246,0.808,-1.835,0.84,0.22
15949,404589355258909824,14.624088,51.508971,17.974,19.421,1.342,0.122,0.064,0.55,0.01
16074,406740103083206912,21.865868,50.849701,18.578,19.376,0.818,0.158,-0.023,0.58,0.01
13546,392863480359587840,4.344263,49.115287,18.201,17.198,0.75,0.803,-1.697,0.7,0.16
7343,371246978678809984,17.75044,40.721011,19.802,18.311,0.755,1.241,-2.437,1.0,0.01
1103,311493194633206912,16.40092,29.856856,20.502,19.45,0.985,0.918,-1.916,1.0,0.01
12420,389151597827452288,9.044946,46.175268,21.154,19.143,1.0,1.232,-2.856,1.0,0.0
14410,397234726277137792,21.606988,44.807281,20.283,18.596,0.771,1.168,-2.601,1.0,0.01
17129,2857506411352808832,5.662018,29.592119,20.008,19.024,0.749,0.853,-1.826,1.0,0.01
10027,379784823907836160,3.069242,38.443148,20.035,19.051,1.131,0.911,-1.989,1.0,0.01
8332,375124646952859648,13.399402,41.878177,20.486,18.928,0.621,1.014,-2.38,0.74,0.31
4609,363622277856638208,15.172735,36.488361,20.533,17.545,0.744,1.497,-3.569,0.98,0.06
2892,320800285684755200,21.30533,36.464078,20.371,19.108,0.854,0.958,-2.073,1.0,0.01
3487,323514808095053056,20.083103,38.838243,20.167,19.094,0.794,0.911,-2.026,1.0,0.01
16356,414885976713757440,10.697584,50.957471,21.537,19.221,0.535,1.264,-2.818,1.0,0.01
12268,388378228834349184,9.755117,45.860999,20.028,18.851,0.92,1.072,-2.117,1.0,0.0
9392,377621569141793792,12.959514,45.396276,17.431,18.837,1.262,0.387,-0.324,0.51,0.25
4423,362933330742410880,13.258765,34.481327,19.455,18.574,0.17,0.631,-1.246,0.64,0.16
12948,390480323269530368,10.25293,47.988597,19.994,18.472,0.77,1.118,-2.374,1.0,0.0
5603,367881609809112960,13.449658,39.226515,20.06,19.486,0.685,0.641,-1.397,0.85,0.18
3831,361404906500772480,12.458414,34.011773,21.596,19.193,0.634,1.285,-3.037,1.0,0.07
13387,392211332528511360,3.885237,46.90914,20.832,19.441,0.898,1.145,-2.364,1.0,0.02
6671,369568849056845056,17.639184,37.662678,21.159,19.087,0.666,1.283,-2.66,1.0,0.04
5595,367049112002986624,11.141644,35.873024,20.081,19.08,0.748,0.909,-1.865,1.0,0.01
20311,2877667297079151744,2.803737,37.456499,20.939,19.326,1.083,1.226,-2.541,1.0,0.0
2973,320642059089089280,20.720568,35.53709,20.352,19.019,0.556,0.987,-2.15,1.0,0.01
4539,363490851857405568,14.729151,35.742349,20.708,19.426,0.888,0.99,-2.083,0.99,0.0
8172,374366808562795648,15.447133,40.40355,19.618,18.182,0.593,1.043,-2.15,1.0,0.3
5028,364739312951016576,13.540004,37.816848,20.453,19.443,0.684,0.825,-1.815,0.92,0.15
14652,397617768640374656,20.243641,44.882553,20.738,19.463,1.112,1.146,-2.341,1.0,0.0
7105,372244235724848256,21.210876,41.554745,19.834,18.371,0.955,1.121,-2.327,1.0,0.01
17249,2859399697360576000,9.527804,31.136788,22.312,19.203,0.53,1.645,-3.633,1.0,0.11
19992,2876136295854736896,4.105264,34.687352,21.444,19.455,0.882,1.323,-2.751,1.0,0.0
10768,381915505644071040,7.199097,41.848351,21.494,19.425,1.062,1.1,-2.781,0.96,0.1
11109,384041858053548544,1.330529,41.138225,20.73,19.279,0.96,1.044,-2.403,0.98,0.01
7525,372718228316551424,18.738209,40.900497,20.809,19.16,0.759,1.26,-2.539,1.0,0.0
5593,367029973629110144,8.321166,38.352451,20.236,18.934,0.896,1.123,-2.301,1.0,0.02
713,312640260138767744,15.188593,31.474184,20.771,19.403,0.991,1.147,-2.362,1.0,0.0
1036,313093392072616192,16.295172,30.69357,19.863,19.391,0.825,0.642,-1.329,0.98,0.04
4367,363533865958569344,15.664629,35.897524,20.428,18.633,0.183,0.948,-1.697,1.0,0.23
15688,403196243960115712,18.460638,49.221031,17.16,17.426,0.524,0.253,-0.213,0.65,0.1
11875,386927182723242880,2.862616,46.335371,19.608,18.59,0.752,0.916,-1.825,1.0,0.12
3971,361722695428117376,9.185536,32.543483,21.276,18.559,0.264,1.47,-3.098,1.0,0.32
3164,322508136479875072,22.097062,37.855937,19.769,18.684,0.819,0.915,-1.894,1.0,0.1
11387,384526016830867072,2.262806,42.373816,17.906,19.252,1.176,0.115,0.088,0.54,0.01
13242,391501597772723712,8.986751,49.879569,20.372,18.948,0.893,1.189,-2.435,1.0,0.0
10904,383307109408744832,2.447981,40.963894,20.009,18.541,1.288,1.202,-2.477,1.0,0.04
11399,385353575423554176,4.039504,42.97659,18.479,19.166,0.824,0.197,-0.09,0.66,0.01
14235,395657579930552192,1.668669,51.924837,19.95,18.961,0.843,0.962,-1.944,1.0,0.01
15537,402946860982724224,14.919868,50.123186,20.128,19.021,0.744,0.884,-1.782,0.99,0.09
6362,369179621945351936,11.130146,40.738838,20.626,19.28,1.05,1.185,-2.349,1.0,0.0
12469,388765188210230272,7.359654,45.057413,20.501,18.907,0.965,1.286,-2.573,1.0,0.0
576,311614759387211904,14.681769,29.734788,20.102,18.845,0.922,0.937,-2.058,0.96,0.01
4544,362784346916877952,14.407786,34.48324,18.923,18.101,0.594,0.724,-1.457,0.97,0.3
7294,371179289994147072,17.75255,40.168585,19.636,18.356,0.616,1.011,-2.081,1.0,0.02
297,310071040766521600,18.099141,30.50673,19.883,19.15,0.652,0.78,-1.531,1.0,0.07
4777,363748343736750720,12.533739,34.955449,21.454,19.171,0.44,1.305,-2.798,1.0,0.2
19678,2874299973997653120,1.27089,33.05381,21.444,19.296,0.56,1.446,-2.889,1.0,0.01
8113,373679751233704960,18.527305,43.835495,18.123,19.471,1.244,0.239,-0.088,0.55,0.0
8134,374315578193387904,13.540549,41.041207,19.887,18.833,0.797,0.937,-1.864,1.0,0.0
13829,394240481239817856,5.908595,49.65135,20.647,19.205,0.793,1.147,-2.38,1.0,0.0
20042,2875420681289105536,0.261656,34.655912,21.294,19.218,0.271,1.15,-2.445,0.96,0.2
16790,416792083200475904,13.762737,53.052653,18.012,19.447,1.3,0.122,0.068,0.51,0.0
10145,380838259125799680,7.818643,39.612628,19.873,18.838,0.83,0.898,-1.92,1.0,0.07
19240,2873529216345880832,0.265664,31.427126,17.995,19.334,1.238,0.207,-0.08,0.51,0.0
15303,401607621457101312,18.228523,48.059643,17.04,17.814,1.128,0.303,-0.369,0.54,0.12
3778,361345361074834688,12.309084,33.282825,21.379,19.232,0.751,1.508,-2.959,1.0,0.0
3184,321055303662583296,18.984904,35.540357,20.682,19.282,1.025,1.148,-2.377,1.0,0.0
10548,381247994717247488,9.637687,41.481577,19.899,19.018,0.63,0.947,-1.725,1.0,0.01
16446,415068560064576768,13.15664,51.161548,20.867,19.263,1.053,1.372,-2.763,1.0,0.01
19617,2874397040260208768,1.625036,33.793719,21.664,18.742,1.126,1.686,-3.686,1.0,0.1
104,309120654698563328,21.269099,29.431927,21.409,19.313,0.767,1.385,-3.003,1.0,0.03
15395,402085874657805952,14.567445,48.081189,18.24,19.261,1.257,0.321,-0.366,0.53,0.0
6574,369142440409963776,10.233483,40.602199,19.321,19.053,0.536,0.476,-0.89,0.65,0.13
15883,404446491764779648,16.310105,51.419978,20.439,18.464,0.919,1.404,-2.943,1.0,0.0
2911,322358740337677184,22.142806,37.470587,18.503,19.294,1.183,0.32,-0.417,0.55,0.0
711,312060817510747392,13.919763,29.963557,20.284,19.038,0.853,0.915,-1.998,0.96,0.01
17035,2858164881378625664,10.073786,29.532222,20.98,19.429,0.453,1.099,-2.21,1.0,0.07
18693,2861606180974579456,2.670586,31.176275,19.798,18.334,0.595,1.084,-2.174,1.0,0.0
5988,368604577360009984,10.111593,39.134602,21.384,19.43,0.817,1.396,-2.964,1.0,0.07
7993,373842788193565056,14.595372,39.284616,21.094,19.447,0.455,1.099,-2.366,0.98,0.01
18456,2861336761970349568,1.562693,30.165405,20.213,18.697,0.861,1.205,-2.29,1.0,0.0
3760,360335906320731776,11.874569,30.723629,20.033,19.094,0.89,0.871,-1.834,1.0,0.01
3926,360823883324754176,11.212755,32.375172,19.661,19.084,0.893,0.73,-1.428,0.99,0.03
18303,2862682976519915136,6.896922,32.063984,20.943,19.226,0.876,1.316,-2.6,1.0,0.0
12741,389816729344017280,11.639166,46.802908,17.928,19.423,1.324,0.18,-0.014,0.54,0.01
3071,321500674591346816,19.941758,36.417278,19.829,18.468,0.702,1.024,-2.172,1.0,0.01
1723,315000533645771776,16.182204,34.050057,20.856,18.629,0.522,1.466,-3.007,1.0,0.03
8613,375648323724829824,14.016525,42.960028,20.698,19.137,0.56,1.148,-2.275,1.0,0.09
4171,362464732630586752,11.671352,35.177189,20.361,19.098,0.608,0.975,-2.006,1.0,0.0
