ID,RADEG_x,DECDEG_x,CLASS,DATATABLE,Object ID,RADEG_y,DECDEG_y,Nearest field,Distance to nearest field
B081,10.5566083,40.8108222,1,m31rbcV5,3.691492822939922e+17,10.556628,40.810775,m248,52.33922768399819
B345,10.5588417,40.293475,1,m31rbcV5,3.69119698557873e+17,10.558855,40.293451,m228,23.577027433788125
B462,10.5613292,42.026875,1,m31rbcV5,3.8136640267771686e+17,10.561353,42.02683,m266,46.970931121958955
B538,10.56375,41.3271139,1,m31rbcV5,3.812653807375511e+17,10.564114,41.327165,m248,50.452722552839305
B083,10.5685,41.7557667,1,m31rbcV5,3.8129263231946816e+17,10.568431,41.755705,m266,43.61709962439587
B085,10.5760083,40.6658722,1,m31rbcV5,3.691458119593485e+17,10.575999,40.665833,m228,57.04029219213355
B087,10.5825,41.6378778,1,m31rbcV5,3.812880281083886e+17,10.582485,41.637871,m266,47.554078425972406
B051D,10.5856208,41.0771972,1,m31rbcV5,3.8125841002033024e+17,10.58562,41.077128,m248,40.50508112203778
B088,10.5877625,41.5372778,1,m31rbcV5,3.8128527932128435e+17,10.587756,41.537265,m266,53.727563866108966
B090,10.5879833,41.04935,1,m31rbcV5,3.69248410141503e+17,10.587794,41.049285,m248,40.46469779844493
B091,10.5904583,41.3681667,1,m31rbcV5,3.812721539154551e+17,10.590469,41.368154,m248,51.3380057250763
B092,10.593225,41.1357417,1,m31rbcV5,3.812588566969211e+17,10.593207,41.135766,m248,40.35031570316197
B347,10.5953833,41.9076611,1,m31rbcV5,3.813186426352077e+17,10.59538,41.907628,m266,40.46572866439107
B093,10.5963917,41.3621028,1,m31rbcV5,3.812713936918175e+17,10.596458,41.362107,m248,50.5281882645053
H17,10.5987,37.2430806,1,m31rbcV5,3.674309818394903e+17,10.59869,37.242972,m169,44.13595378905909
B094,10.6043458,40.9548917,1,m31rbcV5,3.6924706581414285e+17,10.604329,40.954895,m248,41.33807328655621
B096,10.6086667,41.320775,1,m31rbcV5,3.812652476019432e+17,10.608659,41.320777,m248,46.96873199315756
B098,10.6141458,40.9932944,1,m31rbcV5,3.692480321819208e+17,10.614133,40.993325,m248,39.30669246367864
B097,10.6143958,41.4256056,1,m31rbcV5,3.812723944274939e+17,10.61443,41.425602,m248,54.127395903552525
B350,10.6185083,40.4142,1,m31rbcV5,3.691226878529623e+17,10.618543,40.414133,m228,29.94121962733102
B100,10.6205167,40.8321389,1,m31rbcV5,3.6914917921484454e+17,10.620712,40.832196,m248,46.56674225241458
B101,10.6209458,41.1377139,1,m31rbcV5,3.812601280035551e+17,10.620961,41.137677,m248,38.09091346911811
B104,10.6248833,41.2904333,1,m31rbcV5,3.8126218957730944e+17,10.624703,41.290459,m248,43.990091907493486
B105,10.6281125,41.5075944,1,m31rbcV5,3.8128497009783936e+17,10.628167,41.507594,m266,53.54564694118259
B106,10.6293167,41.2051083,1,m31rbcV5,3.8126057468014554e+17,10.629323,41.205077,m248,39.39102971391949
B108,10.6298917,41.1476056,1,m31rbcV5,3.812601623632927e+17,10.629951,41.147596,m248,37.55528025983042
B107,10.6302292,41.3274639,1,m31rbcV5,3.8127105439772595e+17,10.630204,41.327456,m248,45.94430443267125
B109,10.6340292,41.1744083,1,m31rbcV5,3.8126047160093606e+17,10.634017,41.174422,m248,37.93975976000837
NB16,10.6378917,41.3378917,1,m31rbcV5,3.8127108875746176e+17,10.637938,41.338016,m248,46.15081259736916
B111,10.6382125,41.0073167,1,m31rbcV5,3.692473106274134e+17,10.638216,41.007318,m248,36.98067733455255
B112,10.6385125,41.2951056,1,m31rbcV5,3.8126222394497536e+17,10.638533,41.295094,m248,43.29968134404396
B117,10.6433,40.9525139,1,m31rbcV5,3.6924689831056346e+17,10.643257,40.952565,m248,38.36911970906328
B115,10.64335,41.2338528,1,m31rbcV5,3.812617386097541e+17,10.643346,41.233873,m248,39.57489639172793
B116,10.6439333,41.5475472,1,m31rbcV5,3.81286550639668e+17,10.643906,41.547606,m266,49.48801229151588
B064D,10.64805,41.2428389,1,m31rbcV5,3.812617429115789e+17,10.648048,41.242835,m248,39.66686324605275
B119,10.6503375,41.2931639,1,m31rbcV5,3.812621552280672e+17,10.650401,41.293182,m248,42.35778039361596
B351,10.658275,42.1918778,1,m31rbcV5,3.813281259147457e+17,10.658176,42.191942,m266,51.30417794899738
B352,10.6591375,42.037,1,m31rbcV5,3.813255833023256e+17,10.659078,42.036969,m266,40.31143115297596
B122,10.6671083,41.5629361,1,m31rbcV5,3.812866193510712e+17,10.667102,41.563002,m266,46.909346945215674
B123,10.6694458,41.1759194,1,m31rbcV5,3.812606090399644e+17,10.669412,41.175943,m248,35.1548422638903
SK053A,10.6700292,40.2980111,1,m31rbcV5,3.6907424062530675e+17,10.670049,40.298024,m228,16.77693195029407
B125,10.6760833,41.0919306,1,m31rbcV5,3.692501968478962e+17,10.676105,41.091951,m248,32.94866615332863
B126,10.6820042,41.2118611,1,m31rbcV5,3.8126081519831424e+17,10.68204,41.211882,m248,35.60749102227204
SK054A,10.6878083,41.1375278,1,m31rbcV5,3.692505404452681e+17,10.687787,41.137517,m248,32.58595535514342
B128,10.69915,41.1871528,1,m31rbcV5,3.8126064339124506e+17,10.69918,41.187156,m248,33.21990040829735
B129,10.7013625,41.4184417,1,m31rbcV5,3.8127184467168525e+17,10.701365,41.418499,m248,48.68519795956869
B130,10.7035958,41.4979028,1,m31rbcV5,3.8127449037151514e+17,10.703565,41.497952,m266,50.214461410664825
AU008,10.7040083,41.3031278,1,m31rbcV5,3.812678932950954e+17,10.703986,41.303114,m248,39.42040744826236
B262,10.7085417,41.3244778,1,m31rbcV5,3.812679963810153e+17,10.708553,41.324487,m248,40.677516690225424
BH18,10.7113208,41.1759611,1,m31rbcV5,3.692511245583341e+17,10.711346,41.175947,m248,31.830729845328424
B132,10.7141958,41.26135,1,m31rbcV5,3.812669655907667e+17,10.714274,41.261291,m248,35.94989994390804
B134,10.715325,41.2342833,1,m31rbcV5,3.812667250733088e+17,10.715178,41.234338,m248,34.28780521172542
B135,10.7165958,41.5188778,1,m31rbcV5,3.8127490269111066e+17,10.716561,41.518946,m266,47.71442284614536
B264,10.7216208,41.2706667,1,m31rbcV5,3.8126706867064294e+17,10.721573,41.270681,m248,36.05323918639995
B137,10.7249583,41.5372667,1,m31rbcV5,3.8127493274622835e+17,10.724978,41.537307,m266,45.69175918697051
B138,10.7317292,41.3096778,1,m31rbcV5,3.8126754540570406e+17,10.731706,41.309742,m248,38.14364559771894
PHF4-2,10.740875,41.3067778,1,johnson12_table8,3.81267480987515e+17,10.740841,41.306716,m248,37.35330253533624
AU010,10.7421792,41.2812417,1,m31rbcV5,3.812668968719763e+17,10.742169,41.281314,m248,35.41630822678735
B140,10.7447958,41.147975,1,m31rbcV5,3.6925078096343616e+17,10.744715,41.147907,m248,28.219455147224856
B143,10.7485458,41.322025,1,m31rbcV5,3.812675840641577e+17,10.748511,41.322015,m248,38.07080037075137
B144,10.7494292,41.2682083,1,m31rbcV5,3.812668968719813e+17,10.74941,41.268264,m248,34.03611846844351
B091D,10.756025,41.5047639,1,m31rbcV5,3.812741124143941e+17,10.75598,41.504829,m266,47.0064547138804
B145,10.7565875,41.2074694,1,m31rbcV5,3.6925700007358976e+17,10.756554,41.207466,m248,29.806102122614973
B265,10.758025,40.8838472,1,m31rbcV5,3.6924301566037146e+17,10.758105,40.883968,m248,33.91182341429531
B146,10.7621708,41.2562528,1,m31rbcV5,3.6925720623200934e+17,10.7622,41.25626,m248,32.37338852535578
B147,10.7637792,41.3559806,1,m31rbcV5,3.812677215031021e+17,10.763755,41.356021,m248,40.01365019277421
B266,10.7646958,41.6753389,1,m31rbcV5,3.81311186572047e+17,10.764629,41.675412,m266,32.62129756369416
BH23,10.7656792,41.3411056,1,m31rbcV5,3.812677215031071e+17,10.765762,41.341158,m248,38.646583296125144
B148,10.7661,41.3013111,1,m31rbcV5,3.8126730488754304e+17,10.766068,41.301323,m248,35.41019035048716
SK118C,10.77185,41.2412694,1,johnson12_table8,3.6925713751253606e+17,10.771876,41.241248,m248,30.727530331537896
B149,10.7727917,41.5741972,1,m31rbcV5,3.812985421883562e+17,10.772782,41.574238,m266,39.992349100672165
B268,10.7799667,41.1966139,1,m31rbcV5,3.6925672089794714e+17,10.779952,41.196752,m248,27.51740354698927
B150,10.7813167,41.33875,1,m31rbcV5,3.812676484849285e+17,10.781274,41.338801,m248,37.606440677386715
