,ID,RAdeg,DECdeg
3083,321312486304425728,18.451532,35.875036
3088,323318098592804096,22.327496,38.524384
3114,321346708603847680,18.610685,36.320237
3127,321383366148956544,18.109275,36.325229
3136,322095059410261248,22.299513,36.553178
3167,322510816539977344,22.321241,37.885251
3192,321077122096746752,19.151907,35.666836
3194,321082379136720896,19.224645,35.792538
3208,321934187115356544,19.898296,38.140283
3212,321213044925591424,18.000156,35.712384
3229,321245416094685440,17.45528,35.649303
3237,321249264386349568,17.454219,35.741582
3281,321844615572500096,19.257424,37.626612
3315,322521811656265984,22.058778,37.985457
3321,323200996309321344,21.361472,38.149961
3351,321709749307906304,20.139526,37.455683
3367,321117666587967232,18.466773,35.774443
3384,322012634693127552,22.445469,35.862793
3392,322528546164976512,22.237011,38.027887
3393,322529435222558592,22.245847,38.103241
3395,322536758142429952,22.456991,38.061626
3413,321809568639642752,18.718029,37.102617
3427,321778026399560320,19.469817,37.285896
3438,323559200876870784,21.143185,38.88042
3450,323590433879312384,21.080883,39.405713
3455,323605277286050816,21.476856,39.451059
3512,324043432670109056,22.222012,40.466702
3518,323823663488026368,22.420908,39.909552
3596,324204064446953216,22.239316,41.077949
3611,323475225676476800,20.522041,38.736748
3636,324239351897381376,22.591158,41.493198
3638,324245502290462976,22.402694,41.42634
3678,360702348635179520,10.588934,31.832161
3696,360950670758689280,12.449229,32.277718
3732,361059762929196800,13.620096,33.04117
3739,361075362250443264,13.117862,32.748625
3748,348287144370520832,22.595023,42.012673
3754,360312984079938048,11.093865,30.428734
3759,360323085843505280,11.238608,30.675159
3852,361444037951734400,9.871411,31.932823
3865,360400743146045952,11.283491,30.93127
3902,360735097761319936,11.156522,31.822912
3915,361699713056250112,9.226502,32.340193
3940,360635591958203776,10.846027,31.518336
3944,360638615616089088,10.946503,31.675033
3949,360652492654607616,10.476886,31.412994
3971,361722695428117376,9.185536,32.543483
3990,362483871005216384,10.981497,34.95725
4004,362522216473289856,11.087123,35.155507
4027,362636153365543936,13.565436,33.642637
4043,362656356891725312,14.326888,33.801229
4058,361552515936547456,9.839958,32.656013
4064,361274923609629696,12.676908,32.916284
4084,361395865593617280,12.843388,33.992461
4119,361942670766198144,9.884659,33.623872
4123,362254313593264384,11.869888,34.743231
4139,362377149657797248,10.634166,34.542965
4179,361983520199184512,11.253559,33.007059
4194,361583714579150720,10.638716,32.606798
4209,362555992095154560,14.258988,33.24023
4245,362850313319088256,13.442256,34.021535
4256,363193502681870336,15.068179,34.932843
4257,363193635824892544,15.082003,34.958707
4274,363223567452763904,15.564835,35.388587
4301,363093477187296000,13.880158,35.44242
4302,363095646146962176,14.055895,35.439282
4308,363776858024531712,12.545039,35.120216
4337,363924884073106048,13.601407,36.078597
4380,363147769869899776,16.034776,34.8931
4383,363156325444620288,15.665028,34.851306
4420,362930547604320128,13.413668,34.441379
4495,362990501051737728,14.049834,34.743869
4501,363008853447889664,14.752758,34.940588
4534,363648249523891200,15.331904,36.651535
4542,362778093444663552,14.440175,34.302142
4576,364214467948023040,12.54299,36.788621
4586,364264667524580224,14.447462,36.144501
4594,364273047005818368,14.597204,36.308379
4595,364278480140071936,14.428976,36.433345
4599,364290437329463296,14.44268,36.480373
4600,364292533273508992,14.518124,36.547597
4626,363716629698243456,13.153621,35.008617
4646,363485938414577280,14.384866,35.851153
4651,363394885108329344,14.955906,35.28692
4658,363410828026915328,14.784508,35.382341
4707,364023840118706688,11.489447,35.532997
4718,364044799559698560,11.605035,35.773928
4741,364134787714308992,13.345472,36.419219
4760,364781403631344000,13.910071,38.377833
4768,364807310872393984,8.57497,33.192584
4802,364453852245358592,14.524667,37.180338
4813,364642448555422336,13.356888,37.608572
4844,364474055770377088,14.395396,37.460884
4850,364503708225731456,14.864331,37.691773
4853,365313842136366720,8.122736,35.097937
4855,365315525763006464,8.057878,35.111851
4862,364379841368902784,14.953412,36.72738
4866,364388122064312064,14.53528,36.678046
4898,365444267415927552,9.332477,34.897879
4909,364578612453850880,13.668679,37.404371
4917,365362323726122368,9.796617,34.495108
4942,365180801228963200,7.8249,34.335659
4950,364699004682754688,14.653798,37.969803
4985,365485056712788992,9.729045,35.426167
4986,364870086115149440,8.047269,33.442706
4994,364907675669316608,8.618876,33.80905
5020,365492237897655808,9.697136,35.493458
5031,364744187737951488,13.495272,37.946875
5046,365831639098215040,10.004567,36.397309
5071,366251450678306304,6.82936,35.810535
5078,365755639652702464,9.239119,36.05642
5084,365772368549899776,9.060603,36.174347
5108,366226746026386432,6.264631,35.409095
5115,366310824305983488,6.21812,35.899368
5122,365931973829216640,7.083884,34.589802
5141,365699633279185536,9.491155,35.825842
5154,365710662754786048,8.898136,35.571271
5157,365718771653381888,8.998899,35.684333
5171,366481489125372288,8.479193,35.808762
5212,365987602245060736,7.369494,35.269214
5272,366688983289979264,9.414462,37.396659
5297,366791688843161088,7.769793,36.970927
5299,366797770516977152,8.157669,36.877167
5329,366888205348408448,7.691314,37.553719
5330,366889785896134784,7.440798,37.491587
5336,366914177019523328,8.747415,37.510076
5337,366916376042689536,8.571914,37.5119
5362,366550547904211456,8.776724,36.740321
5363,366564158655946240,8.207606,36.383862
5378,367284235693225600,11.63888,37.339678
5385,366643254774078336,8.880898,36.73098
5388,366657101748154496,9.549317,36.880065
5390,366660675161428480,9.576497,37.054461
5397,367205208294972928,11.832417,36.789437
5460,367803239541117184,13.578326,38.679193
5481,367815879629503104,13.758719,38.96417
5498,366732418295108608,9.017505,37.359735
5536,367597042456033152,11.062104,38.428376
5548,367532141204503296,11.571013,38.081697
5598,367849689611851520,12.857699,38.887001
5625,367986548745686528,11.5736,38.822734
5683,367246577419989760,12.317194,37.253084
5689,367439988386741760,10.784319,37.461257
5697,367699473129855360,12.110548,37.928332
5706,367716034525564032,12.737901,38.162754
5716,367430470739245184,10.534128,37.188821
