,Object ID,Nearest field,Distance to nearest field
371,DAO27,m249,0.39564119373351336
372,FJJ-VII,m398,0.40579857452488793
373,B435,m249,0.2732369214075574
374,B307,m233,0.44261351141923627
375,B308,m233,0.39945176862102777
376,SH06,m233,0.31684462777235617
377,SK067C,m249,0.4459107566824238
378,B178D,m249,0.3707966844884127
379,SK068C,m233,0.2848699875991079
380,FJJ-VIII,m398,0.4760047694798959
381,SK029B,m265,0.18378554661440227
382,B309,m233,0.2879509279463961
383,B179D,m249,0.37901216400563126
384,SK037D,m265,0.08785665527950164
385,B310,m249,0.3146729577280089
386,B180D,m265,0.0617836980923099
387,SK030B,m265,0.27259271848781796
388,SK069C,m265,0.20631797323306633
389,B436,m233,0.32301874817188503
390,B181D,m265,0.3699772705859775
391,B182D,m249,0.3818233269993576
392,C14,m249,0.2235363463038298
393,B437,m233,0.41408106528647853
394,B311,m233,0.4519539527393995
395,B438,m233,0.37360299879913816
396,SH07,m265,0.3252982686089066
397,SK070C,m265,0.270078715356187
398,SK006A,m233,0.49773665834176994
399,B439,m249,0.052383577363811745
400,B312,m249,0.1316556018846059
401,SK031B,m249,0.20924311545900187
402,B183D,m249,0.40461870008163814
403,SK007A,m249,0.22742179743816904
404,B314,m233,0.3501080459756592
405,B313,m249,0.20170877522158456
406,SK032B,m265,0.2828229893141674
407,SK033B,m249,0.19908608624479252
408,B315,m233,0.48853085656328843
409,B184D,m286,0.48080257798883724
410,DAO30,m233,0.3832848042715414
411,B001,m249,0.12759571271299405
412,SK034B,m249,0.3260396286855746
413,B316,m249,0.39120675232150487
414,B001D,m249,0.3177206844087298
415,B317,m265,0.10978464314434119
416,B241,m249,0.19178093471499078
417,SK071C,m249,0.10793394593830255
418,SK038D,m249,0.43155845580401575
419,KHM31-22,m249,0.49656289157624206
420,SK035B,m265,0.1376587209143493
421,SK072C,m233,0.4810862043296762
422,PAndAS-31,m286,0.44769981104036005
423,WH2,m249,0.5292786856416151
424,B185D,m249,0.5140886473527334
425,SK036B,m233,0.4340034343075888
426,SK037B,m249,0.28107201826637623
427,SK008A,m249,0.3598149111423781
428,B318,m249,0.5186861031492612
429,B242,m249,0.11644460244543355
430,B243,m249,0.12751836235589198
431,B186D,m210,0.3151234579259506
432,B440,m265,0.34418840504332227
433,B002,m249,0.15844750639413802
434,B319,m249,0.522758762236231
435,B002D,m265,0.3179077958207543
436,SK038B,m249,0.3599530461312765
437,SK073C,m233,0.41251138509819757
438,SK039B,m265,0.1405710848771332
439,SK074C,m249,0.38197004808523716
440,SK009A,m249,0.18047733217236775
441,B187D,m265,0.29637444946932884
442,SK010A,m249,0.49708414088952585
443,SK075C,m265,0.18337205783711172
444,SK040B,m265,0.1866384820434855
445,B441,m265,0.1809348364973319
446,SK076C,m249,0.46141596352900793
447,B003,m249,0.16426696779037203
448,C15,m233,0.5054900510983664
449,BH02,m249,0.4879471011267693
450,SK041B,m249,0.13905153168372159
451,KHM31-37,m249,0.49249194625500076
452,SK039D,m265,0.15091295920503042
453,H15,m148,0.4482266590170558
454,C16,m210,0.33279750904358724
455,B188D,m210,0.5713552641173593
456,SK042B,m265,0.21749117152025604
457,SK040D,m249,0.15662423927821859
458,B321,m233,0.5196482889408236
459,SK043B,m249,0.4849059739149667
460,SK077C,m265,0.17348090454528858
461,B189D,m249,0.43618927846600347
462,SK078C,m249,0.33746641715633474
463,B320,m265,0.16618951606785762
464,SK041D,m233,0.526395927513791
465,SK079C,m265,0.3211777094793486
466,B190D,m249,0.44530406221569846
467,SK011A,m249,0.44424298386847405
468,B322,m249,0.45246708487423776
469,SK042D,m249,0.3488608432528749
470,B191D,m286,0.5170602359220485
471,B004,m249,0.33577692523743724
472,SK043D,m249,0.2911158832114072
473,B323,m249,0.5539656718306922
474,SK044B,m233,0.5607150887652141
475,SK012A,m249,0.1676822464454799
476,DAO32,m249,0.5554241064413508
477,B442,m249,0.4797022204448351
478,SK080C,m265,0.1915745508774896
479,B005,m249,0.3803412170486066
480,B324,m265,0.2409031760601224
481,B443,m249,0.5463033951880647
482,SK081C,m265,0.26645748840698535
483,B445,m265,0.19136489700337686
484,B444,m265,0.23364770253622472
485,SK013A,m249,0.29404276912537086
486,BH03,m265,0.24679704182775644
487,B325,m233,0.5673887008752991
488,B326,m265,0.24464593521557568
489,B327,m249,0.5021105190206135
490,SK044D,m249,0.4170620891772092
491,B328,m265,0.2551358277868851
492,B192D,m249,0.4800749864043819
493,B329,m265,0.19794476196971209
494,SK014A,m249,0.3170184701077557
495,SK045D,m249,0.3450528900117778
496,B003D,m249,0.2159252390175686
497,B193D,m265,0.2305590915161828
498,SK046B,m249,0.47830181115497433
499,B330,m265,0.23205164142745882
500,B331,m265,0.24135258418498073
501,SK015A,m249,0.36547479182404974
502,B004D,m249,0.23280906415840488
503,B006,m249,0.4190211366812087
504,B244,m249,0.29240004884570503
505,B332,m265,0.2648052218905723
506,B194D,m233,0.5273448536661738
507,B447,m233,0.4878605983766812
508,SK082C,m265,0.34955748299480804
509,B446,m265,0.30235035847627234
510,BH04,m265,0.24089034393202258
511,B007,m265,0.4088593174485835
512,SK083C,m249,0.35862385333848973
513,SK084C,m265,0.2784721970488784
514,SK047B,m265,0.2464293731165839
515,VDB0,m249,0.510027870511192
516,B333,m265,0.26669046195654167
517,B008,m249,0.26955290377068236
518,BH05,m249,0.37298821144521666
519,BH06,m249,0.38151710636383107
520,B009,m265,0.30942058771388786
521,BH07,m249,0.4101600959092978
522,SK048B,m249,0.46375895124099276
523,C012,m249,0.38294140047811653
524,B010,m249,0.2526226179547225
525,SK016A,m249,0.36586636728932376
526,B011,m265,0.2844565141732146
527,C17,m184,0.31188226179900225
528,SK049B,m265,0.2740970513245558
529,B012,m249,0.34573261344371364
530,SK046D,m249,0.3954148629683962
531,B005D,m265,0.34186551519731434
